T_dust_K,M_dust_Msun
6.510025062656640671e+01,2.222587802189353388e+06
6.541353383458647386e+01,2.194162357591710053e+06
6.572681704260651259e+01,2.166335513034741860e+06
6.604010025062656553e+01,2.139090386342874262e+06
6.635338345864661846e+01,2.112410682724127546e+06
6.666666666666665719e+01,2.086280670669747982e+06
6.697994987468672434e+01,2.060685158986783121e+06
6.729323308270676307e+01,2.035609474903810536e+06
6.760651629072681601e+01,2.011039443193472456e+06
6.791979949874686895e+01,1.986961366258820519e+06
6.823308270676690768e+01,1.963362005133458413e+06
6.854636591478697483e+01,1.940228561348367948e+06
6.885964912280701355e+01,1.917548659621029627e+06
6.917293233082706649e+01,1.895310331324881641e+06
6.948621553884711943e+01,1.873501998699635034e+06
6.979949874686715816e+01,1.852112459765068255e+06
7.011278195488722531e+01,1.831130873903101077e+06
7.042606516290726404e+01,1.810546748074859381e+06
7.073934837092731698e+01,1.790349923641245114e+06
7.105263157894736992e+01,1.770530563757343451e+06
7.136591478696740865e+01,1.751079141312519088e+06
7.167919799498747579e+01,1.731986427389648277e+06
7.199248120300751452e+01,1.713243480218343204e+06
7.230576441102756746e+01,1.694841634598354110e+06
7.261904761904762040e+01,1.676772491770659108e+06
7.293233082706765913e+01,1.659027909714887617e+06
7.324561403508772628e+01,1.641599993852874963e+06
7.355889724310776501e+01,1.624481088139243424e+06
7.387218045112781795e+01,1.607663766520813340e+06
7.418546365914787089e+01,1.591140824747695355e+06
7.449874686716790961e+01,1.574905272519740043e+06
7.481203007518797676e+01,1.558950325952854473e+06
7.512531328320801549e+01,1.543269400350552518e+06
7.543859649122806843e+01,1.527856103266752092e+06
7.575187969924812137e+01,1.512704227846650174e+06
7.606516290726816010e+01,1.497807746433072491e+06
7.637844611528822725e+01,1.483160804426391143e+06
7.669172932330826598e+01,1.468757714386672713e+06
7.700501253132831891e+01,1.454592950367272599e+06
7.731829573934837185e+01,1.440661142469650367e+06
7.763157894736841058e+01,1.426957071609657956e+06
7.794486215538847773e+01,1.413475664486041525e+06
7.825814536340851646e+01,1.400211988742348505e+06
7.857142857142856940e+01,1.387161248313847696e+06
7.888471177944862234e+01,1.374318778951485176e+06
7.919799498746866107e+01,1.361680043915283168e+06
7.951127819548872822e+01,1.349240629829926183e+06
7.982456140350876694e+01,1.336996242695664288e+06
8.013784461152881988e+01,1.324942704047946259e+06
8.045112781954887282e+01,1.313075947259537643e+06
8.076441102756891155e+01,1.301392013979141600e+06
8.107769423558897870e+01,1.289887050700847991e+06
8.139097744360901743e+01,1.278557305458981078e+06
8.170426065162907037e+01,1.267399124643157003e+06
8.201754385964912331e+01,1.256408949928635033e+06
8.233082706766916203e+01,1.245583315317234490e+06
8.264411027568922918e+01,1.234918844284318620e+06
8.295739348370926791e+01,1.224412247027564794e+06
8.327067669172932085e+01,1.214060317813395290e+06
8.358395989974937379e+01,1.203859932417175500e+06
8.389724310776941252e+01,1.193808045653422596e+06
8.421052631578947967e+01,1.183901688992445124e+06
8.452380952380951840e+01,1.174137968260009773e+06
8.483709273182957133e+01,1.164514061416744720e+06
8.515037593984962427e+01,1.155027216414177790e+06
8.546365914786966300e+01,1.145674749124402646e+06
8.577694235588973015e+01,1.136454041340520140e+06
8.609022556390976888e+01,1.127362538845125353e+06
8.640350877192982182e+01,1.118397749544203281e+06
8.671679197994987476e+01,1.109557241663953522e+06
8.703007518796991349e+01,1.100838642008123221e+06
8.734335839598998064e+01,1.092239634273556061e+06
8.765664160401001936e+01,1.083757957421769854e+06
8.796992481203007230e+01,1.075391404104432324e+06
8.828320802005012524e+01,1.067137819140737411e+06
8.859649122807016397e+01,1.058995098044733750e+06
8.890977443609023112e+01,1.050961185600750847e+06
8.922305764411026985e+01,1.043034074485158897e+06
8.953634085213032279e+01,1.035211803932732437e+06
8.984962406015037573e+01,1.027492458446007920e+06
9.016290726817042867e+01,1.019874166546050110e+06
9.047619047619046739e+01,1.012355099563131109e+06
9.078947368421052033e+01,1.004933470465873019e+06
9.110275689223057327e+01,9.976075327274752781e+05
9.141604010025062621e+01,9.903755792276877910e+05
9.172932330827067915e+01,9.832359411892615026e+05
9.204260651629071788e+01,9.761869871476468397e+05
9.235588972431077082e+01,9.692271219527592184e+05
9.266917293233082376e+01,9.623547858016901882e+05
9.298245614035087669e+01,9.555684533012660686e+05
9.329573934837092963e+01,9.488666325594182126e+05
9.360902255639096836e+01,9.422478643043604679e+05
9.392230576441102130e+01,9.357107210306049092e+05
9.423558897243107424e+01,9.292538061708960449e+05
9.454887218045112718e+01,9.228757532931653550e+05
9.486215538847118012e+01,9.165752253216522513e+05
9.517543859649121885e+01,9.103509137813694542e+05
9.548872180451127178e+01,9.042015380651124287e+05
9.580200501253132472e+01,8.981258447222582763e+05
9.611528822055137766e+01,8.921226067686144961e+05
9.642857142857143060e+01,8.861906230166120222e+05
9.674185463659146933e+01,8.803287174251644174e+05
9.705513784461152227e+01,8.745357384685340803e+05
9.736842105263157521e+01,8.688105585235815961e+05
9.768170426065162815e+01,8.631520732747843722e+05
9.799498746867168109e+01,8.575592011364437640e+05
9.830827067669171981e+01,8.520308826915161917e+05
9.862155388471177275e+01,8.465660801465247059e+05
9.893483709273182569e+01,8.411637768020317890e+05
9.924812030075187863e+01,8.358229765381641919e+05
9.956140350877193157e+01,8.305427033147059847e+05
9.987468671679197030e+01,8.253220006852966035e+05
1.001879699248120232e+02,8.201599313252704451e+05
1.005012531328320762e+02,8.150555765727192629e+05
1.008145363408521291e+02,8.100080359823415056e+05
1.011278195488721821e+02,8.050164268916841829e+05
1.014411027568922208e+02,8.000798839993815636e+05
1.017543859649122737e+02,7.951975589550165460e+05
1.020676691729323267e+02,7.903686199602409033e+05
1.023809523809523796e+02,7.855922513807994546e+05
1.026942355889724325e+02,7.808676533691261429e+05
1.030075187969924713e+02,7.761940414971780265e+05
1.033208020050125242e+02,7.715706463991975179e+05
1.036340852130325771e+02,7.669967134240956511e+05
1.039473684210526301e+02,7.624715022971588187e+05
1.042606516290726830e+02,7.579942867908010958e+05
1.045739348370927218e+02,7.535643544040826382e+05
1.048872180451127747e+02,7.491810060507290764e+05
1.052005012531328276e+02,7.448435557554009138e+05
1.055137844611528806e+02,7.405513303579558851e+05
1.058270676691729335e+02,7.363036692254752852e+05
1.061403508771929722e+02,7.320999239718144527e+05
1.064536340852130252e+02,7.279394581844575005e+05
1.067669172932330781e+02,7.238216471584623214e+05
1.070802005012531311e+02,7.197458776372810826e+05
1.073934837092731840e+02,7.157115475602583028e+05
1.077067669172932227e+02,7.117180658166102367e+05
1.080200501253132757e+02,7.077648520056951093e+05
1.083333333333333286e+02,7.038513362033928279e+05
1.086466165413533815e+02,6.999769587344161700e+05
1.089598997493734345e+02,6.961411699503823183e+05
1.092731829573934732e+02,6.923434300134791993e+05
1.095864661654135261e+02,6.885832086855651578e+05
1.098997493734335791e+02,6.848599851225493476e+05
1.102130325814536320e+02,6.811732476739002159e+05
1.105263157894736850e+02,6.775224936871364480e+05
1.108395989974937237e+02,6.739072293171592755e+05
1.111528822055137766e+02,6.703269693402939010e+05
1.114661654135338296e+02,6.667812369729008060e+05
1.117794486215538825e+02,6.632695636944350554e+05
1.120927318295739354e+02,6.597914890748264734e+05
1.124060150375939742e+02,6.563465606060615974e+05
1.127192982456140271e+02,6.529343335378487827e+05
1.130325814536340800e+02,6.495543707172598224e+05
1.133458646616541330e+02,6.462062424322296865e+05
1.136591478696741859e+02,6.428895262588175246e+05
1.139724310776942247e+02,6.396038069121196168e+05
1.142857142857142776e+02,6.363486761007376481e+05
1.145989974937343305e+02,6.331237323847055668e+05
1.149122807017543835e+02,6.299285810367818922e+05
1.152255639097744364e+02,6.267628339070143411e+05
1.155388471177944751e+02,6.236261092904922552e+05
1.158521303258145281e+02,6.205180317981989356e+05
1.161654135338345810e+02,6.174382322308814619e+05
1.164786967418546340e+02,6.143863474558584858e+05
1.167919799498746869e+02,6.113620202866889304e+05
1.171052631578947256e+02,6.083648993656216189e+05
1.174185463659147786e+02,6.053946390487583121e+05
1.177318295739348315e+02,6.024508992938550655e+05
1.180451127819548844e+02,5.995333455506946193e+05
1.183583959899749374e+02,5.966416486539604375e+05
1.186716791979949761e+02,5.937754847185515100e+05
1.189849624060150290e+02,5.909345350372679532e+05
1.192982456140350820e+02,5.881184859808145557e+05
1.196115288220551349e+02,5.853270289000559133e+05
1.199248120300751879e+02,5.825598600304670399e+05
1.202380952380952266e+02,5.798166803987252060e+05
1.205513784461152795e+02,5.770971957313850289e+05
1.208646616541353325e+02,5.744011163655882701e+05
1.211779448621553854e+02,5.717281571617515292e+05
1.214912280701754383e+02,5.690780374181858497e+05
1.218045112781954771e+02,5.664504807875977131e+05
1.221177944862155300e+02,5.638452151954240398e+05
1.224310776942355830e+02,5.612619727599571925e+05
1.227443609022556359e+02,5.587004897142123664e+05
1.230576441102756888e+02,5.561605063294956926e+05
1.233709273182957276e+02,5.536417668406314915e+05
1.236842105263157805e+02,5.511440193728052545e+05
1.239974937343358334e+02,5.486670158699856838e+05
1.243107769423558864e+02,5.462105120248846943e+05
1.246240601503759393e+02,5.437742672104163794e+05
1.249373433583959780e+02,5.413580444126235088e+05
1.252506265664160310e+02,5.389616101650297642e+05
1.255639097744360839e+02,5.365847344843867468e+05
1.258771929824561369e+02,5.342271908077808330e+05
1.261904761904761898e+02,5.318887559310679790e+05
1.265037593984962285e+02,5.295692099486021325e+05
1.268170426065162815e+02,5.272683361942290794e+05
1.271303258145363344e+02,5.249859211835137103e+05
1.274436090225563873e+02,5.227217545571709052e+05
1.277568922305764403e+02,5.204756290256748325e+05
1.280701754385964932e+02,5.182473403150125523e+05
1.283834586466165320e+02,5.160366871135603287e+05
1.286967418546365707e+02,5.138434710200548288e+05
1.290100250626566378e+02,5.116674964926309185e+05
1.293233082706767050e+02,5.095085707989051589e+05
1.296365914786967437e+02,5.073665039670767146e+05
1.299498746867167824e+02,5.052411087380242534e+05
1.302631578947368212e+02,5.031322005183752044e+05
1.305764411027568883e+02,5.010395973345246748e+05
1.308897243107769555e+02,4.989631197875825455e+05
1.312030075187969942e+02,4.969025910092255217e+05
1.315162907268170329e+02,4.948578366184366751e+05
1.318295739348370716e+02,4.928286846791084972e+05
1.321428571428571388e+02,4.908149656584932818e+05
1.324561403508772059e+02,4.888165123864777270e+05
1.327694235588972447e+02,4.868331600156674394e+05
1.330827067669172834e+02,4.848647459822577075e+05
1.333959899749373221e+02,4.829111099676787271e+05
1.337092731829573893e+02,4.809720938609922887e+05
1.340225563909774564e+02,4.790475417220275267e+05
1.343358395989974952e+02,4.771372997452364652e+05
1.346491228070175339e+02,4.752412162242528866e+05
1.349624060150375726e+02,4.733591415171418339e+05
1.352756892230576398e+02,4.714909280123217613e+05
1.355889724310777069e+02,4.696364300951455953e+05
1.359022556390977456e+02,4.677955041151262703e+05
1.362155388471177844e+02,4.659680083537891624e+05
1.365288220551378231e+02,4.641538029931455385e+05
1.368421052631578902e+02,4.623527500847645570e+05
1.371553884711779574e+02,4.605647135194363655e+05
1.374686716791979961e+02,4.587895589974111062e+05
1.377819548872180349e+02,4.570271539992030011e+05
1.380952380952380736e+02,4.552773677569444408e+05
1.384085213032581407e+02,4.535400712262814050e+05
1.387218045112782079e+02,4.518151370587971178e+05
1.390350877192982466e+02,4.501024395749522373e+05
1.393483709273182853e+02,4.484018547375297640e+05
1.396616541353383241e+02,4.467132601255775080e+05
1.399749373433583912e+02,4.450365349088319927e+05
1.402882205513784584e+02,4.433715598226200673e+05
1.406015037593984971e+02,4.417182171432212344e+05
1.409147869674185358e+02,4.400763906636859756e+05
1.412280701754385746e+02,4.384459656700988417e+05
1.415413533834586417e+02,4.368268289182760054e+05
1.418546365914787089e+02,4.352188686108912807e+05
1.421679197994987476e+02,4.336219743750161724e+05
1.424812030075187863e+02,4.320360372400706401e+05
1.427944862155388250e+02,4.304609496161741554e+05
1.431077694235588922e+02,4.288966052728872746e+05
1.434210526315789593e+02,4.273428993183387211e+05
1.437343358395989981e+02,4.257997281787261018e+05
1.440476190476190368e+02,4.242669895781857776e+05
1.443609022556390755e+02,4.227445825190239120e+05
1.446741854636591427e+02,4.212324072622989770e+05
1.449874686716792098e+02,4.197303653087519924e+05
1.453007518796992485e+02,4.182383593800739618e+05
1.456140350877192873e+02,4.167562934005059069e+05
1.459273182957393260e+02,4.152840724787643994e+05
1.462406015037593932e+02,4.138216028902853141e+05
1.465538847117794603e+02,4.123687920597802149e+05
1.468671679197994990e+02,4.109255485440980992e+05
1.471804511278195378e+02,4.094917820153871435e+05
1.474937343358395765e+02,4.080674032445506309e+05
1.478070175438596436e+02,4.066523240849903668e+05
1.481203007518797108e+02,4.052464574566323427e+05
1.484335839598997495e+02,4.038497173302290612e+05
1.487468671679197882e+02,4.024620187119329348e+05
1.490601503759398270e+02,4.010832776281351107e+05
1.493734335839598941e+02,3.997134111105659977e+05
1.496867167919799613e+02,3.983523371816494619e+05
1.500000000000000000e+02,3.969999748401084216e+05
