T_e_K,single_zone_ceiling_R
1.950000000000000000e+04,1.067215218010386102e-01
1.960000000000000000e+04,1.059249999864887853e-01
1.970000000000000000e+04,1.051425892555952063e-01
1.980000000000000000e+04,1.043739400162130571e-01
1.990000000000000000e+04,1.036187136404045084e-01
2.000000000000000000e+04,1.028800721249454181e-01
2.010000000000000000e+04,1.021579686331448439e-01
2.020000000000000000e+04,1.014481808773882027e-01
2.030000000000000000e+04,1.007504143764485077e-01
2.040000000000000000e+04,1.000643835781933333e-01
2.050000000000000000e+04,9.938981153423183390e-02
2.060000000000000000e+04,9.872642958833509341e-02
2.070000000000000000e+04,9.807397707796781938e-02
2.080000000000000000e+04,9.743220104830437045e-02
2.090000000000000000e+04,9.680085597813752052e-02
2.100000000000000000e+04,9.617970351711724319e-02
2.110000000000000000e+04,9.556851223378778903e-02
2.120000000000000000e+04,9.496705737392015234e-02
2.130000000000000000e+04,9.437512062866054707e-02
2.140000000000000000e+04,9.379248991204287844e-02
2.150000000000000000e+04,9.321895914743580369e-02
2.160000000000000000e+04,9.265432806251534814e-02
2.170000000000000000e+04,9.209840199237799563e-02
2.180000000000000000e+04,9.155099169042579810e-02
2.190000000000000000e+04,9.101191314667470000e-02
2.200000000000000000e+04,9.048098741315606375e-02
2.210000000000000000e+04,8.995804043609492706e-02
2.220000000000000000e+04,8.944290289456698073e-02
2.230000000000000000e+04,8.893541004535003569e-02
2.240000000000000000e+04,8.843540157369822463e-02
2.250000000000000000e+04,8.794272144978329542e-02
2.260000000000000000e+04,8.745721779055752598e-02
2.270000000000000000e+04,8.697874272680448937e-02
2.280000000000000000e+04,8.650715227515801131e-02
2.290000000000000000e+04,8.604230621487592157e-02
2.300000000000000000e+04,8.558406796916902259e-02
2.310000000000000000e+04,8.513230449089284613e-02
2.320000000000000000e+04,8.468688615242019047e-02
2.330000000000000000e+04,8.424768663952003633e-02
2.340000000000000000e+04,8.381458284907664091e-02
2.350000000000000000e+04,8.338745479049165799e-02
2.360000000000000000e+04,8.296618549061683667e-02
2.370000000000000000e+04,8.255066090207445473e-02
2.380000000000000000e+04,8.214076981482745787e-02
2.390000000000000000e+04,8.173640377086840991e-02
2.400000000000000000e+04,8.133745698190128492e-02
2.410000000000000000e+04,8.094382624989789055e-02
2.420000000000000000e+04,8.055541089041273750e-02
2.430000000000000000e+04,8.017211265854863600e-02
2.440000000000000000e+04,7.979383567746804740e-02
2.450000000000000000e+04,7.942048636935047923e-02
2.460000000000000000e+04,7.905197338870037504e-02
2.470000000000000000e+04,7.868820755791487709e-02
2.480000000000000000e+04,7.832910180502335173e-02
2.490000000000000000e+04,7.797457110351567466e-02
2.500000000000000000e+04,7.762453241417972827e-02
2.510000000000000000e+04,7.727890462887079814e-02
2.520000000000000000e+04,7.694794452104139482e-02
2.530000000000000000e+04,7.662347996566497288e-02
2.540000000000000000e+04,7.630301864369760934e-02
2.550000000000000000e+04,7.598649011247786411e-02
2.560000000000000000e+04,7.567382552012645591e-02
2.570000000000000000e+04,7.536495756199448892e-02
2.580000000000000000e+04,7.505982043850610574e-02
2.590000000000000000e+04,7.475834981434535675e-02
2.600000000000000000e+04,7.446048277893728418e-02
2.610000000000000000e+04,7.416615780817789605e-02
2.620000000000000000e+04,7.387531472736658111e-02
2.630000000000000000e+04,7.358789467529858186e-02
2.640000000000000000e+04,7.330384006947585074e-02
2.650000000000000000e+04,7.302309457239647417e-02
2.660000000000000000e+04,7.274560305888462530e-02
2.670000000000000000e+04,7.247131158442422783e-02
2.680000000000000000e+04,7.220016735446109502e-02
2.690000000000000000e+04,7.193211869463959907e-02
2.700000000000000000e+04,7.166711502194204886e-02
2.710000000000000000e+04,7.140510681669842707e-02
2.720000000000000000e+04,7.114604559543734330e-02
2.730000000000000000e+04,7.088988388454867118e-02
2.740000000000000000e+04,7.063657519473112711e-02
2.750000000000000000e+04,7.038607399619652150e-02
2.760000000000000000e+04,7.013833569460690975e-02
2.770000000000000000e+04,6.989331660771801180e-02
2.780000000000000000e+04,6.965097394270672315e-02
2.790000000000000000e+04,6.941126577415909771e-02
2.800000000000000000e+04,6.917415102269672267e-02
2.810000000000000000e+04,6.893958943422066887e-02
2.820000000000000000e+04,6.870754155975232480e-02
2.830000000000000000e+04,6.847796873585176858e-02
2.840000000000000000e+04,6.825083306559452667e-02
2.850000000000000000e+04,6.802609740008852546e-02
2.860000000000000000e+04,6.780372532051376355e-02
2.870000000000000000e+04,6.758368112066774624e-02
2.880000000000000000e+04,6.736592979000070869e-02
2.890000000000000000e+04,6.715043699712400227e-02
2.900000000000000000e+04,6.693716907377786351e-02
2.910000000000000000e+04,6.672609299924275872e-02
2.920000000000000000e+04,6.651717638518064857e-02
2.930000000000000000e+04,6.631038746089329416e-02
2.940000000000000000e+04,6.610569505898300502e-02
2.950000000000000000e+04,6.590306860140478229e-02
2.960000000000000000e+04,6.570247808589675664e-02
2.970000000000000000e+04,6.550389407277708298e-02
2.980000000000000000e+04,6.530728767209673102e-02
2.990000000000000000e+04,6.511263053113636179e-02
3.000000000000000000e+04,6.491989482223725627e-02
