n_e_cm3,R_Te15800,R_Te17300,R_Te18800
1.621810097358930003e+00,1.504770930609712343e-01,1.284626916401669927e-01,1.125262490833283668e-01
1.659586907437560654e+00,1.504600457487148546e-01,1.284485912069397995e-01,1.125142454924276669e-01
1.698243652461744357e+00,1.504426049659844389e-01,1.284341652259148037e-01,1.125019646946702756e-01
1.737800828749375359e+00,1.504247617167595863e-01,1.284194062495719879e-01,1.124894003451176738e-01
1.778279410038922759e+00,1.504065068033615671e-01,1.284043066632364061e-01,1.124765459562674236e-01
1.819700858609983429e+00,1.503878308221217042e-01,1.283888586814777577e-01,1.124633948949751994e-01
1.862087136662867515e+00,1.503687241589662382e-01,1.283730543444397132e-01,1.124499403793162433e-01
1.905460717963247230e+00,1.503491769849152337e-01,1.283568855140981291e-01,1.124361754753853415e-01
1.949844599758045138e+00,1.503291792514955538e-01,1.283403438704463218e-01,1.124220930940346974e-01
1.995262314968879513e+00,1.503087206860657665e-01,1.283234209076077603e-01,1.124076859875486750e-01
2.041737944669529181e+00,1.502877907870527607e-01,1.283061079298730145e-01,1.123929467462538856e-01
2.089296130854039646e+00,1.502663788190979344e-01,1.282883960476629281e-01,1.123778677950650062e-01
2.137962089502232210e+00,1.502444738081125664e-01,1.282702761734139663e-01,1.123624413899641239e-01
2.187761623949552536e+00,1.502220645362405127e-01,1.282517390173866512e-01,1.123466596144138824e-01
2.238721138568339875e+00,1.501991395367283932e-01,1.282327750833958946e-01,1.123305143757023228e-01
2.290867652767773155e+00,1.501756870887002993e-01,1.282133746644613936e-01,1.123139974012200143e-01
2.344228815319921999e+00,1.501516952118378267e-01,1.281935278383782573e-01,1.122971002346675462e-01
2.398832919019490362e+00,1.501271516609630208e-01,1.281732244632061701e-01,1.122798142321923820e-01
2.454708915685030579e+00,1.501020439205238144e-01,1.281524541726763444e-01,1.122621305584559914e-01
2.511886431509580131e+00,1.500763591989812407e-01,1.281312063715157323e-01,1.122440401826277218e-01
2.570395782768863935e+00,1.500500844230962805e-01,1.281094702306873612e-01,1.122255338743074204e-01
2.630267991895381741e+00,1.500232062321173176e-01,1.280872346825454033e-01,1.122066021993741725e-01
2.691534803926915576e+00,1.499957109718654258e-01,1.280644884159057306e-01,1.121872355157609163e-01
2.754228703338166273e+00,1.499675846887175423e-01,1.280412198710293714e-01,1.121674239691545921e-01
2.818382931264453717e+00,1.499388131234870858e-01,1.280174172345193151e-01,1.121471574886209327e-01
2.884031503126605944e+00,1.499093817052004618e-01,1.279930684341297753e-01,1.121264257821529831e-01
2.951209226666386076e+00,1.498792755447694580e-01,1.279681611334867186e-01,1.121052183321429030e-01
3.019951720402016093e+00,1.498484794285575294e-01,1.279426827267197975e-01,1.120835243907767481e-01
3.090295432513590512e+00,1.498169778118421946e-01,1.279166203330045770e-01,1.120613329753513548e-01
3.162277660168379523e+00,1.497847548121701289e-01,1.278899607910144454e-01,1.120386328635126216e-01
