n_e_cm3,R_Te8000,R_Te15000,R_Te25000
8.912509381337458763e+03,1.440028731252499146e-02,3.214463082693922759e-03,1.800919193635371843e-03
1.000000000000000000e+04,1.268527112609416953e-02,2.825466620632768270e-03,1.580288755529505500e-03
1.122018454301962993e+04,1.118557580967878377e-02,2.485768745850513040e-03,1.387769990740350939e-03
1.258925411794168758e+04,9.873319980255521044e-03,2.189020912517000185e-03,1.219776852844812890e-03
1.412537544622755377e+04,8.724203874499347755e-03,1.929658205561411103e-03,1.073147152555262683e-03
1.584893192461114086e+04,7.717095516737158475e-03,1.702819976307448245e-03,9.451057428839347184e-04
1.778279410038922651e+04,6.833647109061312917e-03,1.504272781170649075e-03,8.332267474617016450e-04
1.995262314968878854e+04,6.057945274874004110e-03,1.330337521938026882e-03,7.353963658610505796e-04
2.238721138568342212e+04,5.376196401691568649e-03,1.177821970904660608e-03,6.497773354948628306e-04
2.511886431509582326e+04,4.776446621087560018e-03,1.043959305253923170e-03,5.747757532739307786e-04
2.818382931264454965e+04,4.248334810321044083e-03,9.263528565246784098e-04,5.090106610649460092e-04
3.162277660168379225e+04,3.782876283353934187e-03,8.229269821702679417e-04,4.512865709369721944e-04
3.548133892335752898e+04,3.372274452748533734e-03,7.318837651526161926e-04,4.005689399790388506e-04
3.981071705534977082e+04,3.009757598344865465e-03,6.516651232386525211e-04,3.559624896541827921e-04
4.466835921509634500e+04,2.689437900320845037e-03,5.809198434233227726e-04,3.166921908327963793e-04
5.011872336272725079e+04,2.406190025704474031e-03,5.184750327904428992e-04,2.820866932950810897e-04
5.623413251903490891e+04,2.155546755055140744e-03,4.633114822139790300e-04,2.515639593699294223e-04
6.309573444801942969e+04,1.933609367995015949e-03,4.145424634777359024e-04,2.246188586785398899e-04
7.079457843841388240e+04,1.736970750133330025e-03,3.713955160013550382e-04,2.008124892676829557e-04
7.943282347242820833e+04,1.562649424620698568e-03,3.331968208242176363e-04,1.797630056042493981e-04
8.912509381337459490e+04,1.408032939577316591e-03,2.993578029003602791e-04,1.611377528915953128e-04
1.000000000000000000e+05,1.270829252484894983e-03,2.693636454738482558e-04,1.446465277712837179e-04
1.122018454301965248e+05,1.149024941704537492e-03,2.427634406853439088e-04,1.300358061962456372e-04
1.258925411794168758e+05,1.040849242910014743e-03,2.191617376658216531e-04,1.170837991362325196e-04
1.412537544622755377e+05,9.447430549933589919e-04,1.982112827610933248e-04,1.055962152264731420e-04
1.584893192461114086e+05,8.593321872505683273e-04,1.796067760979978942e-04,9.540262619687761428e-05
1.778279410038922797e+05,7.834042291380263930e-04,1.630794945648182182e-04,8.635334581476602860e-05
1.995262314968883002e+05,7.158885175194154788e-04,1.483926536805939863e-04,7.831674615809594943e-05
2.238721138568342431e+05,6.558387560206268034e-04,1.353374000855641745e-04,7.117694640579736972e-05
2.511886431509582035e+05,6.024179087093444818e-04,1.237293428404905287e-04,6.483181912832978447e-05
2.818382931264454965e+05,5.548850475052090466e-04,1.134055457186060762e-04,5.919126744648751248e-05
3.162277660168379080e+05,5.125838810230411375e-04,1.042219145360714965e-04,5.417573356582651363e-05
3.548133892335760174e+05,4.749327332950132653e-04,9.605092359457326125e-05,4.971490524859030003e-05
3.981071705534977373e+05,4.414157751734580442e-04,8.877963377173253459e-05,4.574659190412559245e-05
4.466835921509634936e+05,4.115753401878661740e-04,8.230796192817055042e-05,4.221574629779570553e-05
5.011872336272724788e+05,3.850051810745299947e-04,7.654716731031807673e-05,3.907361151731197061e-05
5.623413251903491328e+05,3.613445438418101154e-04,7.141852569248411775e-05,3.627697589901748365e-05
6.309573444801942678e+05,3.402729536914553678e-04,6.685216627143491012e-05,3.378752119546504860e-05
7.079457843841387657e+05,3.215056219018542659e-04,6.278604992981175496e-05,3.157125143701944569e-05
7.943282347242821706e+05,3.047893953242517126e-04,5.916507052909830889e-05,2.959799176989259177e-05
8.912509381337459199e+05,2.898991808085944798e-04,5.594026346918423720e-05,2.784094809647014193e-05
1.000000000000000000e+06,2.766347859628575626e-04,5.306810793574007201e-05,2.627631964762481651e-05
